id,codigo,nombre,descripcion,activo
1,MANTENIMIENTO_PESO,Mantenimiento de Peso,"Mantener el peso actual estabilizando la ingesta calórica con el gasto energético diario.",true
2,PERDIDA_PESO_GENERAL,Pérdida de Peso (Déficit Calórico),"Reducción del peso corporal total mediante un déficit calórico controlado.",true
3,PERDIDA_GRASA_RECOMP,Pérdida de Grasa (Protegiendo Músculo),"Déficit calórico moderado con alto aporte proteico para oxidar grasa minimizando la pérdida de masa magra.",true
4,AUMENTO_MASA_MUSCULAR,Aumento de Masa Muscular (Hipertrofia),"Superávit calórico y proteico acompañado de entrenamiento de fuerza para ganar tejido muscular.",true
5,AUMENTO_PESO_SALUDABLE,Aumento de Peso Saludable,"Recuperación de peso en personas con bajo IMC, enfocándose en alimentos densamente calóricos y nutritivos.",true
6,CONTROL_GLUCEMICO,Control Glucémico / Resistencia a la Insulina,"Estabilizar niveles de azúcar en sangre, reducir picos de insulina y manejar la carga glucémica de las comidas.",true
7,REDUCCION_COLESTEROL,Reducción de Colesterol (LDL),"Disminución de grasas saturadas y aumento de fibra soluble/grasas saludables para mejorar el perfil lipídico.",true
8,REDUCCION_TRIGLICERIDOS,Reducción de Triglicéridos,"Control estricto de azúcares simples, fructosa añadida, alcohol y carbohidratos refinados.",true
9,CONTROL_PRESION_ARTERIAL,Control de Presión Arterial,"Enfoque en la reducción de sodio y aumento de potasio, magnesio y calcio (estilo dieta DASH).",true
10,MANEJO_SINTOMAS_GASTRO,Manejo de Síntomas Gastrointestinales,"Identificar y reducir alimentos que causan inflamación, gases, acidez, reflujo o alteración del tránsito intestinal.",true
11,RECUPERACION_MICROBIOTA,Recuperación de la Microbiota Intestinal,"Aumento progresivo de fibra prebiótica y alimentos probióticos tras uso de antibióticos o disbiosis.",true
12,REDUCCION_INFLAMACION,Reducción de Inflamación General,"Adopción de un patrón antiinflamatorio (alto en Omega-3, antioxidantes, polifenoles) para enfermedades autoinmunes o dolor crónico.",true
