id,codigo,nombre,tipo,descripcion,activo
1,SIN_LACTOSA,Sin Lactosa,INTOLERANCIA,"Incapacidad para digerir el azúcar de la leche. Requiere lácteos deslactosados o alternativas de origen vegetal.",true
2,SIN_GLUTEN,Sin Gluten,INTOLERANCIA,"Sensibilidad o intolerancia al gluten. Excluye estrictamente trigo, avena (salvo certificada), cebada y centeno.",true
3,INTOLERANCIA_FRUCTOSA,Intolerancia a la Fructosa,INTOLERANCIA,"Mala absorción de la fructosa. Requiere limitar miel, jarabes, manzanas, peras y frutas con alto contenido de fructosa libre.",true
4,INTOLERANCIA_HISTAMINA,Intolerancia a la Histamina,INTOLERANCIA,"Déficit de la enzima DAO. Excluye alimentos fermentados, quesos curados, embutidos, vino y ciertos pescados.",true
5,ALERGIA_MANI,Alergia al Maní (Cacahuate),ALERGENO,"Reacción inmunológica severa. Requiere exclusión absoluta del maní y control estricto de contaminación cruzada (trazas).",true
6,ALERGIA_FRUTOS_SECOS,Alergia a Frutos Secos,ALERGENO,"Reacción inmunológica a nueces, almendras, avellanas, pistachos, anacardos, etc. Riesgo de anafilaxia.",true
7,ALERGIA_MARISCOS,Alergia a Mariscos y Crustáceos,ALERGENO,"Alergia a proteínas de camarones, cangrejos, langostas, etc.",true
8,ALERGIA_PESCADO,Alergia al Pescado,ALERGENO,"Alergia a proteínas de pescados de aleta. Suele ser independiente de la alergia a mariscos.",true
9,ALERGIA_HUEVO,Alergia al Huevo,ALERGENO,"Excluye el consumo de huevo entero, claras, yemas y cualquier producto procesado que lo contenga (ej. mayonesas, repostería).",true
10,APLV,Alergia a la Proteína de Leche de Vaca,ALERGENO,"Diferente a la intolerancia a la lactosa. Reacción inmune a la caseína o proteína del suero. Prohíbe cualquier derivado lácteo.",true
11,ALERGIA_SOYA,Alergia a la Soya,ALERGENO,"Excluye granos de soya, edamame, tofu, tempeh, salsa de soya y lecitina de soya.",true
12,ALERGIA_SESAMO,Alergia al Sésamo (Ajonjolí),ALERGENO,"Excluye semillas de sésamo, aceite de sésamo, tahini y humus tradicional. Alto riesgo de contaminación cruzada.",true
13,ALERGIA_MOSTAZA,Alergia a la Mostaza,ALERGENO,"Reacción a la semilla de mostaza y sus derivados, presentes en muchas salsas y aderezos industriales.",true
14,ALERGIA_APIO,Alergia al Apio,ALERGENO,"Alergia común en Europa, incluye el tallo, hojas y semillas (sal de apio), frecuentemente oculto en caldos y sopas.",true
15,ALERGIA_SULFITOS,Alergia / Sensibilidad a Sulfitos,ALERGENO,"Reacción a conservantes (E220-E228) presentes en vinos, frutas desecadas y algunos procesados.",true
16,ALERGIA_ALTRAMUZ,Alergia al Altramuz (Lupino),ALERGENO,"Legumbre usada frecuentemente en harinas sin gluten y panadería europea. Fuerte reactividad cruzada con el maní.",true
